geracao,melhor_genes,fit,media_fit
1,"[0, 0, 2, 3, 2, 0, 2, 2, 3, 3, 1, 1, 1, 3, 2, 2, 2, 1, 2, 3, 3, 1, 1, 2, 3, 2, 0, 1, 1, 2, 3, 2, 0, 1, 3, 1, 0, 3, 1, 3, 2, 2, 1, 1, 1, 3, 0, 0, 0, 3, 0, 2, 3, 3, 0, 0, 2, 3, 0, 1, 2, 1, 1, 0, 3, 0, 2, 1, 3, 2, 0, 0, 0, 0, 0, 1, 3, 2, 1, 3, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 0, 0, 3, 3, 2, 1, 1, 3, 0, 3, 1, 3, 2, 2, 1, 2, 0, 1, 3, 1, 3, 3, 1, 2, 1, 2, 0, 2, 0, 1, 0, 3, 3, 3, 1, 3, 2, 1, 3, 0, 1, 3, 1, 3, 3, 3, 0, 0, 3, 1, 1, 1, 3, 1, 3, 2, 0, 0, 2, 0, 3, 2, 0, 3, 2, 3, 2, 0, 2, 2, 3, 3, 3, 2, 1, 2, 2, 0, 0, 1, 3, 0, 2, 0, 2, 3, 2, 1, 3, 1, 3, 3, 3, 0, 2, 3, 0, 3, 0, 1, 3, 3, 1, 1, 0, 1, 1, 1, 0, 2, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 0, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 2, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 0, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 0, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 2, 3, 3, 1, 1, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 0, 1, 1, 3, 0, 3, 0, 3, 3, 3, 3, 3, 2, 0, 1, 3, 2, 3, 1, 1, 0, 3, 0, 0, 0, 3, 3, 1, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 0, 2, 3, 1, 0, 1, 3, 2, 3, 1, 2, 1, 1, 3, 3, 3, 0, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 3, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.475,0.314
2,"[0, 0, 2, 3, 2, 0, 2, 2, 3, 3, 1, 1, 1, 3, 2, 2, 2, 1, 2, 3, 3, 1, 1, 2, 3, 2, 0, 1, 1, 2, 3, 2, 0, 1, 3, 1, 0, 3, 1, 3, 2, 2, 1, 1, 1, 3, 0, 0, 0, 3, 0, 2, 3, 3, 0, 0, 2, 3, 0, 1, 2, 1, 1, 0, 3, 0, 2, 1, 3, 2, 0, 0, 0, 0, 0, 1, 3, 2, 1, 3, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 0, 0, 3, 3, 2, 1, 1, 3, 0, 3, 1, 3, 2, 2, 1, 2, 0, 1, 3, 1, 3, 3, 1, 2, 1, 2, 0, 2, 0, 1, 0, 3, 3, 3, 1, 3, 2, 1, 3, 0, 1, 3, 1, 3, 3, 3, 0, 0, 3, 1, 1, 1, 3, 1, 3, 2, 0, 0, 2, 0, 3, 2, 0, 3, 2, 3, 2, 0, 2, 2, 3, 3, 3, 2, 1, 2, 2, 0, 0, 1, 3, 0, 2, 0, 2, 3, 2, 1, 3, 1, 3, 3, 3, 0, 2, 3, 0, 3, 0, 1, 3, 3, 1, 1, 0, 1, 1, 1, 0, 2, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 0, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 2, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 0, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 0, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 2, 3, 3, 1, 1, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 0, 1, 1, 3, 0, 3, 0, 3, 3, 3, 3, 3, 2, 0, 1, 3, 2, 3, 1, 1, 0, 3, 0, 0, 0, 3, 3, 1, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 0, 2, 3, 1, 0, 1, 3, 2, 3, 1, 2, 1, 1, 3, 3, 3, 0, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 3, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.475,0.302
3,"[0, 0, 2, 3, 2, 0, 2, 2, 3, 3, 1, 1, 1, 3, 2, 2, 2, 1, 2, 3, 3, 1, 1, 2, 3, 2, 0, 1, 1, 2, 3, 2, 0, 1, 3, 1, 0, 3, 1, 3, 2, 2, 1, 1, 1, 3, 0, 0, 0, 3, 0, 2, 3, 3, 0, 0, 2, 3, 0, 1, 2, 1, 1, 0, 3, 0, 2, 1, 3, 2, 0, 0, 0, 0, 0, 1, 3, 2, 1, 3, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 0, 0, 3, 3, 2, 1, 1, 3, 0, 3, 1, 3, 2, 2, 1, 2, 0, 1, 3, 1, 3, 3, 1, 2, 1, 2, 0, 2, 0, 1, 0, 3, 3, 3, 1, 3, 2, 1, 3, 0, 1, 3, 1, 3, 3, 3, 0, 0, 3, 1, 1, 1, 3, 1, 3, 2, 0, 0, 2, 0, 3, 2, 0, 3, 2, 3, 2, 0, 2, 2, 3, 3, 3, 2, 1, 2, 2, 0, 0, 1, 3, 0, 2, 0, 2, 3, 2, 1, 3, 1, 3, 3, 3, 0, 2, 3, 0, 3, 0, 1, 3, 3, 1, 1, 0, 1, 1, 1, 0, 2, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 0, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 2, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 0, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 0, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 2, 3, 3, 1, 1, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 0, 1, 1, 3, 0, 3, 0, 3, 3, 3, 3, 3, 2, 0, 1, 3, 2, 3, 1, 1, 0, 3, 0, 0, 0, 3, 3, 1, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 0, 2, 3, 1, 0, 1, 3, 2, 3, 1, 2, 1, 1, 3, 3, 3, 0, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 3, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.475,0.37
4,"[1, 1, 0, 1, 3, 0, 3, 1, 1, 1, 0, 3, 0, 2, 2, 0, 2, 0, 1, 0, 2, 0, 3, 2, 2, 0, 3, 3, 3, 3, 2, 3, 1, 0, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 2, 0, 0, 3, 1, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 3, 1, 3, 0, 0, 0, 3, 3, 0, 3, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 0, 3, 0, 1, 1, 3, 0, 0, 2, 0, 3, 2, 0, 2, 2, 2, 0, 3, 2, 2, 2, 1, 2, 1, 3, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 2, 2, 1, 3, 3, 0, 3, 0, 2, 1, 2, 1, 1, 0, 3, 3, 2, 0, 0, 1, 0, 3, 0, 1, 1, 0, 2, 3, 1, 0, 0, 2, 1, 1, 0, 0, 3, 2, 3, 1, 2, 1, 0, 0, 0, 1, 2, 0, 0, 2, 3, 1, 1, 2, 3, 0, 3, 1, 0, 0, 1, 3, 0, 1, 1, 2, 0, 0, 0, 3, 1, 1, 3, 1, 0, 2, 1, 0, 0, 3, 0, 2, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 2, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 3, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 2, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 3, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 3, 3, 3, 1, 1, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 0, 1, 1, 1, 0, 3, 2, 3, 3, 3, 3, 3, 2, 0, 2, 3, 2, 3, 1, 1, 0, 3, 0, 0, 0, 3, 3, 1, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 0, 2, 1, 1, 0, 1, 3, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 3, 0, 0, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 3, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.475,0.409
5,"[1, 1, 0, 1, 3, 0, 3, 1, 1, 1, 0, 3, 0, 2, 2, 0, 2, 0, 1, 0, 2, 0, 3, 2, 2, 0, 3, 3, 3, 3, 2, 3, 1, 0, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 2, 0, 0, 3, 1, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 3, 1, 3, 0, 0, 0, 3, 3, 0, 3, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 0, 3, 0, 1, 1, 3, 0, 0, 2, 0, 3, 2, 0, 2, 2, 2, 0, 3, 2, 2, 2, 1, 2, 1, 3, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 2, 2, 1, 3, 3, 0, 3, 0, 2, 1, 2, 1, 1, 0, 3, 3, 2, 0, 0, 1, 0, 3, 0, 1, 1, 0, 2, 3, 1, 0, 0, 2, 1, 1, 0, 0, 3, 2, 3, 1, 2, 1, 0, 0, 0, 1, 2, 0, 0, 2, 3, 1, 1, 2, 3, 0, 3, 1, 0, 0, 1, 3, 0, 1, 1, 2, 0, 0, 0, 3, 1, 1, 3, 1, 0, 2, 1, 0, 0, 3, 0, 2, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 2, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 3, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 2, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 3, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 3, 3, 3, 1, 1, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 0, 1, 1, 1, 0, 3, 2, 3, 3, 3, 3, 3, 2, 0, 2, 3, 2, 3, 1, 1, 0, 3, 0, 0, 0, 3, 3, 1, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 0, 2, 1, 1, 0, 1, 3, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 3, 0, 0, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 3, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.475,0.387
6,"[1, 1, 0, 1, 3, 0, 3, 1, 1, 2, 3, 3, 3, 2, 2, 0, 2, 0, 1, 2, 2, 0, 3, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 0, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 2, 0, 0, 1, 0, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 3, 3, 3, 0, 0, 0, 3, 1, 0, 3, 1, 3, 3, 3, 0, 3, 3, 1, 2, 3, 1, 1, 0, 3, 0, 1, 1, 3, 0, 0, 2, 1, 3, 2, 0, 2, 2, 2, 0, 3, 2, 1, 2, 1, 2, 1, 3, 2, 0, 3, 0, 1, 3, 1, 0, 0, 2, 2, 2, 1, 3, 3, 0, 2, 0, 2, 1, 2, 1, 1, 0, 2, 0, 2, 0, 0, 1, 0, 3, 0, 1, 1, 0, 2, 3, 1, 0, 0, 2, 3, 1, 0, 0, 3, 2, 3, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 1, 2, 3, 1, 3, 0, 0, 0, 1, 3, 0, 3, 1, 2, 0, 0, 0, 3, 1, 1, 3, 2, 0, 2, 1, 1, 3, 3, 0, 3, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 2, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 3, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 3, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 2, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 3, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 3, 3, 3, 1, 1, 0, 2, 2, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 1, 1, 1, 1, 0, 3, 2, 3, 3, 3, 3, 3, 2, 0, 2, 3, 2, 3, 1, 3, 0, 3, 0, 0, 0, 0, 3, 2, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 1, 1, 3, 0, 2, 1, 1, 3, 1, 3, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 3, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 3, 0, 0, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 0, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.476,0.423
7,"[1, 1, 0, 1, 3, 0, 3, 1, 1, 2, 3, 3, 3, 2, 2, 0, 2, 0, 1, 2, 2, 0, 3, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 0, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 2, 0, 0, 1, 0, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 3, 3, 3, 0, 0, 0, 3, 1, 0, 3, 1, 3, 3, 3, 0, 3, 3, 1, 2, 3, 1, 1, 0, 3, 0, 1, 1, 3, 0, 0, 2, 1, 3, 2, 0, 2, 2, 2, 0, 3, 2, 1, 2, 1, 2, 1, 3, 2, 0, 3, 0, 1, 3, 1, 0, 0, 2, 2, 2, 1, 3, 3, 0, 2, 0, 2, 1, 2, 1, 1, 0, 2, 0, 2, 0, 0, 1, 0, 3, 0, 1, 1, 0, 2, 3, 1, 0, 0, 2, 3, 1, 0, 0, 3, 2, 3, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 1, 2, 3, 1, 3, 0, 0, 0, 1, 3, 0, 3, 1, 2, 0, 0, 0, 3, 1, 1, 3, 2, 0, 2, 1, 1, 3, 3, 0, 3, 3, 3, 3, 0, 3, 3, 0, 3, 1, 1, 0, 0, 3, 1, 0, 1, 3, 0, 3, 3, 0, 0, 1, 3, 3, 2, 3, 0, 2, 1, 0, 2, 3, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 0, 1, 0, 1, 0, 3, 3, 2, 3, 1, 3, 2, 3, 2, 3, 1, 0, 1, 1, 2, 0, 1, 2, 3, 3, 3, 3, 2, 1, 1, 0, 0, 3, 1, 2, 1, 2, 3, 0, 1, 2, 2, 3, 3, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 2, 3, 0, 2, 1, 0, 3, 0, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 3, 2, 2, 2, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 2, 0, 3, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 3, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 1, 2, 3, 0, 3, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 3, 3, 3, 1, 1, 0, 2, 2, 2, 2, 1, 1, 2, 0, 0, 1, 2, 3, 3, 0, 1, 1, 1, 1, 0, 3, 2, 3, 3, 3, 3, 3, 2, 0, 2, 3, 2, 3, 1, 3, 0, 3, 0, 0, 0, 0, 3, 2, 0, 1, 0, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 3, 2, 2, 1, 1, 3, 0, 2, 1, 1, 3, 1, 3, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 3, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 3, 1, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 3, 1, 0, 1, 0, 3, 3, 0, 1, 1, 3, 3, 2, 0, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 3, 0, 1, 3, 0, 0, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 3, 2, 0, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",0.476,0.427
